respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0553,2022,32,Manitoba,89800,0.8,Higher wages,Somewhat manageable,No,Somewhat manageable,Coping
2022-0554,2022,20,Ontario,30000,12.0,More time off,Difficult,No,Neither,Coping
2022-0555,2022,41,Ontario,123800,6.9,NA,Somewhat manageable,Yes,Neither,Stressed
2022-0556,2022,42,Alberta,100500,4.8,Work-life balance,Very manageable,Yes,Very manageable,Coping
2022-0557,2022,49,Ontario,131700,18.7,Work-life balance,Somewhat manageable,Yes,Somewhat difficult,Comfortable
2022-0558,2022,51,British Columbia,42200,15.6,Better retirement funding,Manageable,No,Very difficult,Coping
2022-0559,2022,38,British Columbia,71200,18.7,Educational funding,Manageable,No,Manageable,Comfortable
2022-0560,2022,47,Ontario,45900,19.3,Better retirement funding,Difficult,No,Neither,Coping
2022-0561,2022,32,New Brunswick,115200,0.0,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Stressed
2022-0562,2022,46,Ontario,30000,5.9,Health benefits,Very manageable,No,Somewhat difficult,Coping
2022-0563,2022,34,Ontario,34600,28.3,More time off,Somewhat manageable,No,Manageable,Comfortable
2022-0564,2022,46,Ontario,125700,16.5,Work-life balance,Very difficult,No,Somewhat manageable,Coping
2022-0565,2022,45,British Columbia,66000,21.8,Educational funding,Very manageable,Yes,Very manageable,Comfortable
2022-0566,2022,41,Ontario,45100,26.6,Work-life balance,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0567,2022,50,British Columbia,150300,0.0,Work-life balance,Difficult,No,Manageable,Stressed
2022-0568,2022,21,Ontario,108900,15.8,Educational funding,Somewhat manageable,No,Neither,Coping
2022-0569,2022,27,Alberta,106600,17.4,Work-life balance,Somewhat manageable,Yes,Neither,Coping
2022-0570,2022,37,Yukon,127900,2.7,Better retirement funding,Difficult,Yes,Neither,Stressed
2022-0571,2022,23,Ontario,52900,26.8,More time off,Difficult,No,Neither,Coping
2022-0572,2022,35,New Brunswick,72300,19.4,Work-life balance,Very manageable,No,Somewhat manageable,Comfortable
2022-0573,2022,36,British Columbia,51600,0.0,Better retirement funding,Neither,No,Somewhat difficult,Coping
2022-0574,2022,56,Manitoba,122400,7.9,Better retirement funding,Somewhat difficult,Yes,Difficult,Stressed
2022-0575,2022,42,Ontario,66600,6.7,Work-life balance,Manageable,Yes,Somewhat manageable,Coping
2022-0576,2022,52,Ontario,86300,11.8,Better retirement funding,Very difficult,No,Very difficult,Stressed
2022-0577,2022,44,Ontario,126000,21.8,Work-life balance,Very manageable,No,Manageable,Comfortable
2022-0578,2022,34,Quebec,140200,3.0,Work-life balance,Neither,Yes,Difficult,Stressed
2022-0579,2022,42,Nova Scotia,112900,28.5,Educational funding,Very manageable,No,Neither,Comfortable
2022-0580,2022,49,Ontario,193200,16.6,Work-life balance,Somewhat difficult,No,Somewhat manageable,Coping
2022-0581,2022,54,Newfoundland and Labrador,75700,6.0,Health benefits,Somewhat difficult,No,Somewhat difficult,Coping
2022-0582,2022,38,Ontario,30000,10.1,Educational funding,Somewhat manageable,Yes,Very manageable,Coping
2022-0583,2022,20,Ontario,95700,8.6,NA,Somewhat manageable,No,Very manageable,Stressed
2022-0584,2022,19,Ontario,30000,8.8,More time off,Very manageable,No,Neither,Coping
2022-0585,2022,36,Alberta,70300,15.7,Work-life balance,Somewhat manageable,Yes,Neither,Comfortable
2022-0586,2022,18,British Columbia,30000,18.3,Health benefits,Manageable,No,Difficult,Comfortable
2022-0587,2022,62,British Columbia,78000,0.7,Better retirement funding,Difficult,No,Neither,Stressed
2022-0588,2022,47,Saskatchewan,30000,0.0,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0589,2022,32,Ontario,56300,19.7,Work-life balance,Very manageable,No,Very manageable,Comfortable
2022-0590,2022,27,Manitoba,50800,4.1,Health benefits,Very manageable,No,Very manageable,Comfortable
2022-0591,2022,52,Manitoba,112500,5.0,Work-life balance,Somewhat difficult,No,Difficult,Coping
2022-0592,2022,27,Nova Scotia,132500,0.0,More time off,Manageable,No,Neither,Stressed
2022-0593,2022,28,Quebec,105800,6.5,Health benefits,Neither,No,Somewhat manageable,Comfortable
2022-0594,2022,31,Saskatchewan,30000,13.6,Work-life balance,Neither,No,Neither,Coping
2022-0595,2022,41,Ontario,121900,9.7,Work-life balance,Neither,No,Difficult,Coping
2022-0596,2022,47,Ontario,106100,16.2,More time off,Manageable,No,Manageable,Comfortable
2022-0597,2022,54,British Columbia,106100,0.0,Work-life balance,Neither,No,Difficult,Stressed
2022-0598,2022,53,British Columbia,108400,13.4,Higher wages,Manageable,No,Very manageable,Comfortable
2022-0599,2022,40,Ontario,100200,7.9,Work-life balance,Very difficult,Yes,Somewhat difficult,Stressed
2022-0600,2022,52,Ontario,73400,10.7,Work-life balance,Somewhat difficult,No,Neither,Coping
2022-0601,2022,32,British Columbia,68900,23.8,Higher wages,Manageable,Yes,Very manageable,Comfortable
2022-0602,2022,18,Ontario,116200,24.8,Higher wages,Manageable,No,Manageable,Comfortable
2022-0603,2022,32,British Columbia,42800,16.2,NA,Manageable,No,Somewhat manageable,Comfortable
2022-0604,2022,30,British Columbia,30000,5.0,Work-life balance,Somewhat manageable,No,Neither,Comfortable
2022-0605,2022,32,British Columbia,74900,2.2,Educational funding,Very difficult,Yes,Somewhat difficult,Stressed
2022-0606,2022,28,Ontario,30000,17.3,Health benefits,Very manageable,No,Neither,Comfortable
2022-0607,2022,34,Ontario,30000,12.6,Higher wages,Manageable,No,Very manageable,Comfortable
2022-0608,2022,47,Ontario,83300,4.7,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0609,2022,61,Ontario,193900,11.4,Work-life balance,Neither,No,Neither,Coping
2022-0610,2022,19,Ontario,56600,18.2,Work-life balance,Difficult,No,Neither,Stressed
2022-0611,2022,25,Manitoba,76400,8.1,Health benefits,Somewhat difficult,No,Somewhat difficult,Coping
2022-0612,2022,31,Ontario,30000,11.0,Work-life balance,Difficult,No,Manageable,Coping
2022-0613,2022,49,British Columbia,125400,3.1,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Coping
2022-0614,2022,38,Ontario,91700,18.5,Higher wages,Somewhat difficult,No,Very difficult,Coping
2022-0615,2022,31,Alberta,43300,16.2,Higher wages,Somewhat difficult,No,Neither,Coping
2022-0616,2022,49,New Brunswick,112500,10.0,More time off,Very manageable,No,Somewhat difficult,Stressed
2022-0617,2022,51,Ontario,115000,27.5,Higher wages,Somewhat manageable,No,Very manageable,Comfortable
2022-0618,2022,40,Alberta,37000,3.9,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Stressed
2022-0619,2022,30,Nova Scotia,91600,4.5,Educational funding,Difficult,No,Difficult,Stressed
2022-0620,2022,43,Ontario,154400,14.5,Work-life balance,Difficult,No,Difficult,Stressed
2022-0621,2022,37,Ontario,74100,22.4,Better retirement funding,Very difficult,Yes,Neither,Comfortable
2022-0622,2022,37,Alberta,42100,2.5,More time off,Very manageable,No,Somewhat manageable,Comfortable
2022-0623,2022,34,Alberta,72100,8.3,Educational funding,Somewhat difficult,No,Difficult,Stressed
2022-0624,2022,51,British Columbia,149200,3.1,Better retirement funding,Somewhat difficult,Yes,Somewhat difficult,Stressed
2022-0625,2022,43,Ontario,33200,16.4,Health benefits,Very manageable,No,Manageable,Coping
2022-0626,2022,52,Quebec,136900,8.0,More time off,Very difficult,No,Somewhat difficult,Stressed
2022-0627,2022,56,British Columbia,80100,0.6,Health benefits,Somewhat manageable,No,Somewhat manageable,Coping
2022-0628,2022,46,Ontario,111100,7.3,Health benefits,Very difficult,Yes,Difficult,Stressed
2022-0629,2022,34,Ontario,52800,12.3,Work-life balance,Neither,No,Somewhat manageable,Coping
2022-0630,2022,52,Saskatchewan,79600,13.2,Better retirement funding,Manageable,No,Somewhat difficult,Coping
2022-0631,2022,46,Alberta,175200,14.5,Work-life balance,Difficult,No,Neither,Coping
2022-0632,2022,65,Ontario,57000,20.0,Better retirement funding,Very manageable,No,Somewhat difficult,Coping
2022-0633,2022,44,Ontario,120300,8.1,Work-life balance,Somewhat difficult,No,Very difficult,Stressed
2022-0634,2022,48,British Columbia,188600,6.1,Better retirement funding,Difficult,Yes,Difficult,Stressed
2022-0635,2022,43,Alberta,128800,11.7,More time off,Very difficult,No,Difficult,Stressed
2022-0636,2022,39,Alberta,30000,17.2,Work-life balance,Somewhat difficult,No,Somewhat manageable,Stressed
2022-0637,2022,37,Nova Scotia,30000,24.4,Work-life balance,Manageable,Yes,Neither,Comfortable
2022-0638,2022,44,Ontario,58400,7.0,Work-life balance,Difficult,Yes,Manageable,Stressed
2022-0639,2022,46,Ontario,106900,13.6,Educational funding,Neither,No,Neither,Coping
2022-0640,2022,54,Alberta,122300,7.3,Health benefits,Very difficult,No,Difficult,Stressed
2022-0641,2022,44,Ontario,32400,18.1,Work-life balance,Very manageable,No,Neither,Comfortable
2022-0642,2022,34,Manitoba,37400,30.0,Work-life balance,Somewhat manageable,Yes,Somewhat difficult,Comfortable
2022-0643,2022,36,Saskatchewan,43400,12.8,More time off,Manageable,No,Manageable,Comfortable
2022-0644,2022,24,Alberta,57000,17.9,More time off,Somewhat manageable,Yes,Difficult,Coping
2022-0645,2022,60,Ontario,219200,17.1,Work-life balance,Manageable,No,Very manageable,Comfortable
2022-0646,2022,34,Quebec,34300,2.1,Work-life balance,Manageable,No,Very difficult,Coping
2022-0647,2022,52,Ontario,59200,16.7,Work-life balance,Very manageable,No,Neither,Comfortable
2022-0648,2022,43,Ontario,37800,14.2,Work-life balance,Neither,No,Somewhat difficult,Comfortable
2022-0649,2022,44,Manitoba,127800,8.9,Higher wages,Difficult,No,Neither,Stressed
2022-0650,2022,39,Ontario,86400,11.5,Work-life balance,Somewhat manageable,No,Neither,Coping
2022-0651,2022,31,Ontario,31700,0.9,More time off,Very difficult,No,Manageable,Stressed
2022-0652,2022,28,New Brunswick,53900,13.4,Educational funding,Somewhat difficult,No,Difficult,Stressed
2022-0653,2022,61,Yukon,81900,25.6,Work-life balance,Very difficult,No,Difficult,Comfortable
2022-0654,2022,41,British Columbia,106300,13.9,Work-life balance,Somewhat manageable,No,Neither,Stressed
2022-0655,2022,54,Manitoba,245200,12.4,Better retirement funding,Somewhat manageable,No,Neither,Coping
2022-0656,2022,57,Quebec,143000,17.7,More time off,Manageable,No,Manageable,Comfortable
2022-0657,2022,35,British Columbia,77900,15.2,Health benefits,Neither,Yes,Neither,Coping
2022-0658,2022,45,Alberta,64300,7.5,Better retirement funding,Very manageable,No,Somewhat manageable,Coping
2022-0659,2022,41,British Columbia,30000,11.8,Work-life balance,Somewhat manageable,Yes,Difficult,Coping
2022-0660,2022,26,Ontario,105700,16.8,Work-life balance,Very manageable,No,Very manageable,Comfortable
2022-0661,2022,38,Ontario,121000,0.0,More time off,Neither,No,Difficult,Stressed
2022-0662,2022,47,Alberta,77200,6.6,Better retirement funding,Very difficult,Yes,Somewhat manageable,Stressed
2022-0663,2022,34,Ontario,141700,8.4,Work-life balance,Difficult,No,Somewhat difficult,Coping
2022-0664,2022,36,Ontario,85100,16.3,Better retirement funding,Neither,No,Manageable,Comfortable
2022-0665,2022,38,Ontario,125700,7.8,Work-life balance,Somewhat difficult,No,Somewhat manageable,Stressed
2022-0666,2022,65,Ontario,142300,18.6,Better retirement funding,Somewhat manageable,No,Manageable,Coping
2022-0667,2022,18,Saskatchewan,48100,12.1,Work-life balance,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0668,2022,46,British Columbia,51300,4.3,Better retirement funding,Manageable,No,Somewhat difficult,Stressed
2022-0669,2022,37,British Columbia,78200,2.2,Better retirement funding,Very difficult,No,Somewhat manageable,Stressed
2022-0670,2022,32,Ontario,120100,6.0,Higher wages,Somewhat manageable,No,Neither,Coping
2022-0671,2022,37,New Brunswick,60100,3.0,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0672,2022,48,Ontario,124000,5.0,NA,Difficult,Yes,Difficult,Stressed
2022-0673,2022,49,Alberta,49400,14.5,More time off,Very difficult,No,Neither,Coping
2022-0674,2022,42,Alberta,132000,12.9,Higher wages,Somewhat manageable,No,Somewhat difficult,Coping
2022-0675,2022,53,Quebec,125100,4.7,Better retirement funding,Somewhat manageable,No,Somewhat manageable,Coping
2022-0676,2022,55,Alberta,52400,18.8,Higher wages,Somewhat difficult,No,Difficult,Coping
2022-0677,2022,50,Ontario,93800,16.7,Educational funding,Neither,No,Neither,Coping
2022-0678,2022,33,Ontario,126100,5.6,Work-life balance,Somewhat manageable,No,Manageable,Coping
2022-0679,2022,46,Alberta,36000,26.6,More time off,Somewhat manageable,Yes,Somewhat manageable,Comfortable
2022-0680,2022,46,British Columbia,45500,20.3,Work-life balance,Manageable,No,Very manageable,Comfortable
2022-0681,2022,30,Manitoba,71500,10.1,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0682,2022,21,Ontario,168200,20.5,Better retirement funding,Very manageable,Yes,Somewhat manageable,Comfortable
2022-0683,2022,18,British Columbia,30000,17.8,Higher wages,Manageable,No,Somewhat manageable,Comfortable
2022-0684,2022,41,Ontario,116300,8.7,Work-life balance,Very difficult,No,Somewhat difficult,Stressed
2022-0685,2022,44,British Columbia,109000,19.3,Higher wages,Very manageable,No,Manageable,Comfortable
2022-0686,2022,26,Alberta,39500,15.6,More time off,Somewhat manageable,No,Somewhat difficult,Comfortable
2022-0687,2022,53,Alberta,117600,0.0,Work-life balance,Very manageable,Yes,Neither,Coping
2022-0688,2022,42,British Columbia,70600,8.6,Health benefits,Somewhat difficult,No,Difficult,Stressed
2022-0689,2022,56,Manitoba,96100,8.8,Work-life balance,Very difficult,No,Neither,Coping
2022-0690,2022,44,Saskatchewan,30000,15.7,Higher wages,Somewhat manageable,No,Manageable,Coping
2022-0691,2022,27,Alberta,69300,13.9,Work-life balance,Difficult,No,Very difficult,Coping
2022-0692,2022,45,Ontario,142500,8.9,Health benefits,Manageable,No,Neither,Coping
2022-0693,2022,48,Ontario,104900,11.1,More time off,Somewhat manageable,Yes,Somewhat difficult,Stressed
2022-0694,2022,33,Ontario,134000,7.0,Better retirement funding,Somewhat difficult,No,Neither,Stressed
2022-0695,2022,23,Ontario,93500,19.1,Better retirement funding,Manageable,No,Difficult,Comfortable
2022-0696,2022,41,Alberta,88500,5.3,Higher wages,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0697,2022,28,Ontario,40600,21.1,Health benefits,Neither,No,Somewhat manageable,Coping
2022-0698,2022,53,British Columbia,85200,2.4,Higher wages,Very difficult,No,Somewhat difficult,Stressed
2022-0699,2022,35,Ontario,30000,9.1,Better retirement funding,Very manageable,No,Somewhat manageable,Coping
2022-0700,2022,61,Alberta,108100,3.6,Better retirement funding,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0701,2022,18,Ontario,64300,9.6,Health benefits,Difficult,Yes,Manageable,Stressed
2022-0702,2022,42,Ontario,178800,7.5,Higher wages,Somewhat difficult,Yes,Difficult,Coping
2022-0703,2022,57,Ontario,141900,8.2,Better retirement funding,Very manageable,Yes,Difficult,Coping
2022-0704,2022,29,Alberta,30300,3.4,Educational funding,Somewhat manageable,No,Somewhat difficult,Stressed
2022-0705,2022,38,Ontario,30000,11.4,Work-life balance,Somewhat difficult,No,Neither,Coping
2022-0706,2022,35,Ontario,72200,3.5,Work-life balance,Somewhat difficult,No,Neither,Coping
2022-0707,2022,32,Ontario,118600,0.0,Work-life balance,Manageable,Yes,Somewhat difficult,Coping
2022-0708,2022,43,British Columbia,83500,13.7,Health benefits,Neither,No,Somewhat difficult,Coping
2022-0709,2022,24,Alberta,93100,3.2,Work-life balance,Very manageable,No,Manageable,Comfortable
2022-0710,2022,39,British Columbia,79400,10.3,Work-life balance,Somewhat manageable,Yes,Difficult,Stressed
2022-0711,2022,46,Ontario,134900,13.8,Work-life balance,Neither,Yes,Neither,Stressed
2022-0712,2022,37,Manitoba,30000,10.0,Health benefits,Difficult,No,Somewhat manageable,Coping
2022-0713,2022,28,Ontario,152200,18.8,Health benefits,Somewhat manageable,Yes,Difficult,Coping
2022-0714,2022,52,Ontario,52400,17.8,Health benefits,Very manageable,No,Manageable,Comfortable
2022-0715,2022,49,Ontario,143200,14.0,Health benefits,Difficult,No,Somewhat manageable,Stressed
2022-0716,2022,28,Ontario,58400,8.3,Work-life balance,Manageable,No,Somewhat manageable,Coping
2022-0717,2022,24,Ontario,60200,0.0,Health benefits,Neither,Yes,Very difficult,Coping
2022-0718,2022,29,Ontario,61400,5.6,Educational funding,Manageable,Yes,Somewhat difficult,Stressed
2022-0719,2022,47,British Columbia,113300,21.2,Educational funding,Somewhat manageable,No,Manageable,Coping
2022-0720,2022,43,Ontario,117400,14.2,Educational funding,Difficult,No,Neither,Coping
2022-0721,2022,49,Saskatchewan,156400,3.4,Higher wages,Somewhat difficult,Yes,Difficult,Stressed
2022-0722,2022,36,Ontario,154400,13.0,Better retirement funding,Very difficult,No,Difficult,Coping
2022-0723,2022,29,Quebec,90100,10.9,More time off,Difficult,Yes,Neither,Stressed
2022-0724,2022,51,Yukon,192200,17.4,Better retirement funding,Very manageable,No,Manageable,Comfortable
2022-0725,2022,33,Ontario,84100,19.1,More time off,Difficult,No,Somewhat manageable,Stressed
2022-0726,2022,42,Ontario,146900,3.4,Work-life balance,Somewhat manageable,No,Somewhat manageable,Stressed
2022-0727,2022,21,Ontario,82900,11.0,Work-life balance,Very difficult,No,Difficult,Stressed
2022-0728,2022,33,British Columbia,52000,9.8,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0729,2022,52,Alberta,117100,2.5,Health benefits,Manageable,No,Very difficult,Stressed
2022-0730,2022,31,Nova Scotia,101700,8.5,Work-life balance,Somewhat manageable,Yes,Difficult,Coping
2022-0731,2022,50,Ontario,103400,11.1,Work-life balance,Somewhat manageable,No,Very difficult,Stressed
2022-0732,2022,18,British Columbia,77600,6.7,More time off,Very manageable,Yes,Manageable,Stressed
2022-0733,2022,33,Ontario,122800,7.7,Better retirement funding,Somewhat difficult,Yes,Difficult,Stressed
2022-0734,2022,38,Ontario,85800,1.2,Work-life balance,Somewhat manageable,No,Neither,Coping
2022-0735,2022,61,Ontario,30000,9.3,Better retirement funding,Very difficult,Yes,Somewhat difficult,Stressed
2022-0736,2022,26,British Columbia,152900,12.7,Work-life balance,Neither,Yes,Somewhat difficult,Coping
2022-0737,2022,48,Ontario,87100,10.6,Better retirement funding,Somewhat difficult,No,Neither,Coping
2022-0738,2022,53,Alberta,68300,13.2,Better retirement funding,Manageable,No,Very difficult,Coping
2022-0739,2022,31,British Columbia,30000,4.0,Work-life balance,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0740,2022,36,Alberta,67200,13.9,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2022-0741,2022,42,Alberta,64900,9.5,More time off,Very manageable,No,Somewhat manageable,Coping
2022-0742,2022,22,British Columbia,30000,3.7,Work-life balance,Very difficult,No,Neither,Stressed
2022-0743,2022,35,Ontario,48400,24.1,Work-life balance,Very manageable,Yes,Manageable,Coping
2022-0744,2022,55,Newfoundland and Labrador,139000,24.4,Health benefits,Somewhat difficult,No,Neither,Comfortable
2022-0745,2022,46,British Columbia,200500,5.2,NA,Somewhat difficult,Yes,Difficult,Coping
2022-0746,2022,38,Ontario,128000,23.2,Higher wages,Somewhat manageable,No,Neither,Coping
2022-0747,2022,41,Ontario,147600,8.4,Educational funding,Somewhat difficult,No,Very manageable,Coping
2022-0748,2022,47,Quebec,81600,6.1,Work-life balance,Somewhat difficult,Yes,Difficult,Stressed
2022-0749,2022,49,Ontario,108700,24.3,Higher wages,Very manageable,Yes,Somewhat difficult,Comfortable
2022-0750,2022,33,Alberta,100800,0.0,Work-life balance,Neither,No,Manageable,Stressed
2022-0751,2022,58,Quebec,84000,4.8,Better retirement funding,Difficult,No,Manageable,Stressed
2022-0752,2022,56,Ontario,92700,3.1,Better retirement funding,Difficult,No,Difficult,Stressed
2022-0753,2022,48,Ontario,144700,12.2,Better retirement funding,Difficult,No,Somewhat manageable,Coping
2022-0754,2022,30,Ontario,129500,20.6,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2022-0755,2022,28,Nova Scotia,75400,17.5,Work-life balance,Neither,Yes,Somewhat manageable,Comfortable
2022-0756,2022,36,Ontario,30000,17.1,Higher wages,Somewhat manageable,Yes,Somewhat manageable,Comfortable
2022-0757,2022,41,Ontario,76700,17.4,Better retirement funding,Manageable,No,Very manageable,Coping
2022-0758,2022,19,Ontario,30000,12.8,Higher wages,Very manageable,No,Difficult,Coping
2022-0759,2022,46,Alberta,102800,11.2,Health benefits,Manageable,No,Somewhat manageable,Coping
2022-0760,2022,55,Alberta,125300,6.7,Higher wages,Very difficult,Yes,Very difficult,Stressed
2022-0761,2022,47,Alberta,87000,30.0,Work-life balance,Manageable,No,Manageable,Comfortable
2022-0762,2022,32,British Columbia,90100,12.0,Better retirement funding,Somewhat difficult,No,Somewhat manageable,Coping
2022-0763,2022,30,Manitoba,95800,7.9,Higher wages,Neither,No,Somewhat manageable,Coping
2022-0764,2022,44,Quebec,108800,0.0,Work-life balance,Neither,No,Manageable,Coping
2022-0765,2022,38,British Columbia,30000,8.0,Health benefits,Very manageable,No,Manageable,Comfortable
2022-0766,2022,45,British Columbia,84800,3.7,Higher wages,Somewhat difficult,Yes,Neither,Stressed
2022-0767,2022,47,British Columbia,121000,10.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Coping
2022-0768,2022,53,Ontario,188400,7.7,Health benefits,Somewhat manageable,No,Very manageable,Coping
2022-0769,2022,26,Ontario,55400,20.5,Better retirement funding,Very manageable,No,Somewhat manageable,Comfortable
2022-0770,2022,43,Ontario,122000,3.2,Health benefits,Very difficult,No,Somewhat difficult,Stressed
2022-0771,2022,36,Saskatchewan,127900,1.4,Work-life balance,Neither,Yes,Somewhat difficult,Stressed
2022-0772,2022,39,Yukon,78700,14.7,Health benefits,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0773,2022,50,Ontario,162400,27.6,Work-life balance,Neither,Yes,Somewhat manageable,Comfortable
2022-0774,2022,52,Ontario,168100,10.2,Health benefits,Very manageable,Yes,Neither,Comfortable
2022-0775,2022,57,Manitoba,184500,12.5,Health benefits,Very difficult,Yes,Somewhat difficult,Coping
2022-0776,2022,45,Ontario,120400,0.0,Work-life balance,Neither,No,Manageable,Stressed
2022-0777,2022,39,British Columbia,206500,0.0,Higher wages,Very difficult,No,Manageable,Stressed
2022-0778,2022,37,Ontario,54700,7.5,Health benefits,Somewhat manageable,No,Neither,Coping
2022-0779,2022,19,Alberta,164700,11.7,Educational funding,Somewhat difficult,No,Manageable,Stressed
2022-0780,2022,56,British Columbia,152400,6.3,More time off,Manageable,No,Neither,Coping
2022-0781,2022,36,Alberta,151000,12.3,More time off,Very manageable,No,Neither,Comfortable
2022-0782,2022,46,Ontario,83000,11.2,Work-life balance,Somewhat manageable,No,Manageable,Coping
2022-0783,2022,48,Ontario,144200,11.2,Higher wages,Neither,Yes,Neither,Coping
2022-0784,2022,25,Alberta,138800,2.1,Higher wages,Difficult,Yes,Neither,Stressed
2022-0785,2022,29,Ontario,30000,15.9,Health benefits,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0786,2022,59,Manitoba,110300,9.4,Better retirement funding,Neither,Yes,Neither,Coping
2022-0787,2022,43,Ontario,30000,11.7,Work-life balance,Difficult,No,Difficult,Coping
2022-0788,2022,33,Alberta,70600,4.0,Better retirement funding,Somewhat manageable,No,Manageable,Stressed
2022-0789,2022,38,Alberta,46200,8.2,Work-life balance,Difficult,No,Difficult,Stressed
2022-0790,2022,53,Ontario,98600,12.2,Better retirement funding,Very difficult,No,Somewhat difficult,Stressed
2022-0791,2022,51,Ontario,252700,21.0,Health benefits,Manageable,No,Difficult,Coping
2022-0792,2022,22,Ontario,148900,6.4,Better retirement funding,Neither,No,Somewhat manageable,Coping
2022-0793,2022,60,Ontario,48000,17.6,Work-life balance,Somewhat manageable,No,Somewhat difficult,Coping
2022-0794,2022,52,Saskatchewan,135800,14.3,Better retirement funding,Somewhat difficult,Yes,Somewhat manageable,Coping
2022-0795,2022,38,British Columbia,126900,10.9,More time off,Difficult,No,Somewhat difficult,Stressed
2022-0796,2022,26,Manitoba,52100,10.4,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0797,2022,53,Saskatchewan,118400,5.1,Higher wages,Difficult,Yes,Very difficult,Stressed
2022-0798,2022,46,Alberta,112800,24.6,Educational funding,Manageable,No,Somewhat difficult,Comfortable
2022-0799,2022,23,Ontario,30000,10.8,Work-life balance,Difficult,No,Neither,Stressed
2022-0800,2022,37,Alberta,33900,20.4,Higher wages,Somewhat difficult,No,Manageable,Coping
2022-0801,2022,65,Ontario,136100,7.0,Better retirement funding,Very difficult,No,Difficult,Stressed
2022-0802,2022,40,Alberta,95000,17.3,More time off,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0803,2022,31,Ontario,41100,0.0,Work-life balance,Difficult,Yes,Difficult,Stressed
2022-0804,2022,28,Ontario,32300,6.7,Higher wages,Very manageable,Yes,Very manageable,Comfortable
2022-0805,2022,61,Alberta,117000,4.0,Work-life balance,Somewhat difficult,No,Manageable,Stressed
2022-0806,2022,50,Alberta,149300,10.3,More time off,Neither,No,Manageable,Comfortable
2022-0807,2022,57,British Columbia,111700,15.9,Health benefits,Neither,No,Difficult,Coping
2022-0808,2022,43,British Columbia,175600,0.0,Health benefits,Difficult,No,Somewhat difficult,Stressed
2022-0809,2022,55,Manitoba,77700,3.5,More time off,Difficult,No,Very manageable,Stressed
2022-0810,2022,30,Saskatchewan,84700,8.2,Higher wages,Manageable,Yes,Somewhat difficult,Coping
2022-0811,2022,42,Alberta,75300,26.4,Educational funding,Manageable,Yes,Manageable,Comfortable
2022-0812,2022,43,New Brunswick,123900,13.7,Health benefits,Manageable,No,Very manageable,Comfortable
2022-0813,2022,57,Nova Scotia,76400,8.3,Work-life balance,Difficult,No,Neither,Stressed
2022-0814,2022,44,British Columbia,192400,12.2,Health benefits,Difficult,Yes,Neither,Coping
2022-0815,2022,32,British Columbia,30000,10.5,Health benefits,Neither,No,Somewhat difficult,Stressed
2022-0816,2022,41,Ontario,177300,10.3,Educational funding,Somewhat difficult,No,Manageable,Stressed
2022-0817,2022,20,Ontario,64500,10.8,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Coping
2022-0818,2022,18,Ontario,84600,0.8,NA,Very manageable,No,Manageable,Coping
2022-0819,2022,50,Manitoba,171700,4.8,Health benefits,Difficult,No,Somewhat difficult,Stressed
2022-0820,2022,36,Ontario,126900,17.9,Work-life balance,Very manageable,No,Manageable,Comfortable
2022-0821,2022,37,Quebec,49000,12.7,Work-life balance,Neither,No,Manageable,Coping
2022-0822,2022,50,Ontario,135000,12.8,Educational funding,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0823,2022,57,Quebec,208900,11.7,Work-life balance,Very difficult,Yes,Difficult,Stressed
2022-0824,2022,46,British Columbia,54600,18.1,NA,Manageable,No,Difficult,Comfortable
2022-0825,2022,63,Yukon,230400,5.5,Work-life balance,Somewhat difficult,No,Somewhat manageable,Coping
2022-0826,2022,46,Ontario,118300,8.3,Work-life balance,Somewhat manageable,No,Neither,Coping
2022-0827,2022,44,Ontario,74300,15.6,Higher wages,Somewhat difficult,No,Difficult,Stressed
2022-0828,2022,43,Ontario,49800,22.7,Work-life balance,Manageable,Yes,Very manageable,Comfortable
2022-0829,2022,25,Saskatchewan,56300,17.3,Better retirement funding,Neither,No,Manageable,Coping
